"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 18 19:56:06 GMT 2020","Fri Sep 18 19:56:06 GMT 2020","0","","Buildin allure for ts:","","Buildin allure for ts:","Parametrized test with labels | {""first"":1,""second"":""alpha"",""third"":true}","Parametrized test with labels | {""first"":1,""second"":""alpha"",""third"":true}",""
"failed","Fri Sep 18 19:56:06 GMT 2020","Fri Sep 18 19:56:06 GMT 2020","44","","Buildin allure for ts:","","Buildin allure for ts:","Parametrized test with labels | {""first"":2,""second"":""bravo"",""third"":false}","Parametrized test with labels | {""first"":2,""second"":""bravo"",""third"":false}",""
"failed","Fri Sep 18 19:56:06 GMT 2020","Fri Sep 18 19:56:06 GMT 2020","3","","Buildin allure for spec in ts:","","Buildin allure for spec in ts:","simple failed test","simple failed test",""
"passed","Fri Sep 18 19:56:06 GMT 2020","Fri Sep 18 19:56:06 GMT 2020","1","","Buildin allure for spec in ts:","","Buildin allure for spec in ts:","simple passed test","simple passed test",""
"skipped","Fri Sep 18 19:56:06 GMT 2020","Fri Sep 18 19:56:06 GMT 2020","0","","Buildin allure for ts:","","Buildin allure for ts:","Parametrized test with labels | {""first"":3,""second"":""charlie""}","Parametrized test with labels | {""first"":3,""second"":""charlie""}",""
"passed","Fri Sep 18 19:56:06 GMT 2020","Fri Sep 18 19:56:06 GMT 2020","7","","Buildin allure for ts:","","Buildin allure for ts:","Passed test with labels","Passed test with labels",""
